"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.051811810E2,6.505904490E1,2.546632656E1,1.712546393E1,4.606164960E-1,1.710758280E2,7.164876887E0,3.523656734E0
2.061811708E2,6.505901169E1,2.546633938E1,1.736672710E1,9.540466901E-1,1.850064389E2,7.274280564E0,3.929239327E0
2.071811601E2,6.505899791E1,2.546636939E1,1.726590665E1,9.251032854E-1,1.718045258E2,7.458714862E0,4.662433653E0
2.081811496E2,6.505899125E1,2.546637673E1,1.734448905E1,8.811626899E-1,1.742275266E2,7.477862499E0,5.001479446E0
2.091811408E2,6.505898397E1,2.546638323E1,1.736374452E1,1.010161989E0,1.710344161E2,7.299685854E0,5.364920658E0
2.101811308E2,6.505896890E1,2.546639544E1,1.658090185E1,9.891015839E-1,1.718260360E2,7.261177846E0,5.576907083E0
2.111811224E2,6.505897334E1,2.546639651E1,1.653343512E1,8.371265302E-1,1.709826479E2,7.239127008E0,5.974193564E0
2.121811140E2,6.505896630E1,2.546640422E1,1.661908283E1,7.434690193E-1,1.667497065E2,7.213307480E0,6.091905483E0
2.131811056E2,6.505895476E1,2.546642558E1,1.661706649E1,6.052266524E-1,1.647144305E2,7.238452903E0,6.049630057E0
2.141810975E2,6.505894577E1,2.546644149E1,1.692814853E1,5.205231690E-1,1.630267670E2,7.443334406E0,5.878647004E0
2.151810895E2,6.505894449E1,2.546644668E1,1.694093559E1,4.359408745E-1,1.629821415E2,7.594485573E0,5.655363102E0
2.161810818E2,6.505893946E1,2.546645387E1,1.743428752E1,3.809925223E-1,1.629821480E2,7.732709285E0,5.198037178E0
2.171810749E2,6.505891886E1,2.546646546E1,1.733647067E1,8.255615793E-1,1.719254596E2,8.113296794E0,4.868942859E0
2.181810677E2,6.505891914E1,2.546649186E1,1.742419195E1,6.090858819E-1,1.498987019E2,8.260662622E0,4.735600579E0
2.191810608E2,6.505891257E1,2.546651643E1,1.713595098E1,9.042428214E-1,1.531131964E2,8.184612359E0,5.236667693E0
2.201810536E2,6.505888986E1,2.546653985E1,1.673252948E1,1.051029832E0,1.568481558E2,8.050207176E0,5.851688834E0
2.211810472E2,6.505887712E1,2.546656899E1,1.706502331E1,9.991425524E-1,1.512524066E2,8.057252298E0,6.279735156E0
2.221810409E2,6.505887048E1,2.546659230E1,1.748510064E1,7.084358022E-1,1.501939222E2,7.884218061E0,6.620603850E0
2.231810353E2,6.505887268E1,2.546661542E1,1.732017539E1,4.350444637E-1,1.398361842E2,7.903640052E0,6.551042028E0
2.241810298E2,6.505886987E1,2.546662093E1,1.711936750E1,3.587366713E-1,1.398361892E2,7.829617697E0,6.818815147E0
2.251810234E2,6.505887682E1,2.546663250E1,1.736631477E1,7.070580229E-2,1.398362016E2,7.701766523E0,6.704208232E0
2.261810174E2,6.505885131E1,2.546666364E1,1.691792871E1,9.123108730E-1,1.501813721E2,7.617622313E0,7.409584977E0
2.271810119E2,6.505885846E1,2.546668232E1,1.728841889E1,6.818730837E-1,1.419629993E2,7.600210144E0,7.765616515E0
2.281810068E2,6.505886062E1,2.546670604E1,1.717050185E1,7.463971064E-1,1.410643606E2,7.524063053E0,8.086482831E0
2.291810011E2,6.505884990E1,2.546671728E1,1.712843315E1,7.641176220E-1,1.571664938E2,7.461351189E0,8.895345821E0
2.301809950E2,6.505884695E1,2.546672282E1,1.720378110E1,7.616215426E-1,1.660304904E2,7.424118424E0,8.735382384E0
2.311809908E2,6.505885314E1,2.546674034E1,1.686150067E1,1.583899219E-1,1.682023711E2,7.423079968E0,8.933385587E0
2.321809851E2,6.505884893E1,2.546677866E1,1.580092636E1,1.014338066E-1,1.682024083E2,7.361123748E0,8.485155100E0
2.331809802E2,6.505885427E1,2.546680114E1,1.529780478E1,1.128168573E-1,1.682024304E2,7.243575759E0,8.406505667E0
2.341809757E2,6.505886354E1,2.546682889E1,1.533498889E1,1.135566910E-1,1.682024578E2,7.191906113E0,8.200125242E0
2.351809715E2,6.505886080E1,2.546685482E1,1.548230455E1,1.039440292E-1,1.682024830E2,7.178043317E0,7.464723022E0
2.361809654E2,6.505884909E1,2.546685863E1,1.551037559E1,5.378360460E-1,1.682024863E2,7.192105395E0,6.703633737E0
2.371809611E2,6.505884552E1,2.546687701E1,1.549736177E1,8.024848831E-1,1.582285656E2,7.369467840E0,5.154147512E0
2.381809560E2,6.505884570E1,2.546691895E1,1.551656095E1,1.056649641E0,1.293154529E2,7.322472319E0,5.090110086E0
2.391809512E2,6.505884337E1,2.546693677E1,1.553543549E1,1.099337162E0,1.270600498E2,7.320090640E0,4.194766944E0
2.401809468E2,6.505883799E1,2.546696346E1,1.538184103E1,1.220358215E0,1.234760429E2,7.320090635E0,3.652356641E0
